timestamp,question,detected_area,sources,response_time_seconds,status
2026-07-27T17:34:38,se cuenta con Haccp?,Corporate,"BSF-CORP-006 - BSF-CORP-006_Frequently_Asked_Questions.md, BSF-CORP-006 - BSF-CORP-006_Frequently_Asked_Questions.md, BSF-QMS-002 - BSF-QMS-002_Certification_and_Compliance_Overview.pdf, BSF-CORP-002 - BSF-CORP-002_Corporate_Glossary.pdf, BSF-QMS-004 - BSF-QMS-004_Food_Safety_and_HACCP_Management_Manual.md",6.959,grounded
2026-07-27T17:33:57,con que certificaciones se cuenta?,Corporate,"BSF-CORP-002 - BSF-CORP-002_Corporate_Glossary.pdf, BSF-CORP-006 - BSF-CORP-006_Frequently_Asked_Questions.md, BSF-CORP-006 - BSF-CORP-006_Frequently_Asked_Questions.md, BSF-OPS-004 - BSF-OPS-004_Seafood_Receiving_and_Inspection_Procedure.pdf, BSF-OPS-004 - BSF-OPS-004_Seafood_Receiving_and_Inspection_Procedure.pdf",6.843,grounded
2026-07-27T17:33:06,cual es la estructura organizacional?,Document Control,"BSF-INV-001 - BSF-INV-001_Document_Inventory.csv, BSF-CORP-003 - BSF-CORP-003_Corporate_Organization_Chart.pdf, BSF-CORP-004 - BSF-CORP-004_Corporate_Knowledge_Map.pdf, BSF-CORP-003 - BSF-CORP-003_Corporate_Organization_Chart.pdf, BSF-HR-001 - BSF-HR-001_Employee_Onboarding_Guide.pdf",10.337,grounded
